condition	seed	pruned_total	ASR	ASR_all_items	HarmRef_val	BFR_val	HarmRef_legacy	BFR_legacy	Empty	PPL
prune_only		9	0.9250	0.9250	0.3333	0.0400	0.3167	0.0300	0.0000	10.0415
random1	11	9	0.3000	0.3000	0.7833	0.3100	0.7250	0.2700	0.0000	9.2889
random2	11	9	0.2750	0.2750	0.8167	0.3000	0.7000	0.3100	0.0000	9.2733
random3	11	9	0.2833	0.2833	0.8167	0.2700	0.7417	0.2800	0.0000	9.2525
raw		0	0.9167	0.9167	0.3417	0.0400	0.3167	0.0300	0.0000	10.0363
rec_only	11	0	0.3083	0.3083	0.7167	0.3000	0.7000	0.2500	0.0000	9.2923
rec_only	22	0	0.3000	0.3000	0.7833	0.4700	0.7667	0.4500	0.0000	9.0799
rec_only	33	0	0.2000	0.2000	0.8500	0.3000	0.8333	0.3300	0.0000	9.3733
rec_only_v2_frozen	11	0	0.2167	0.2167	0.9750	0.0600	0.9167	0.1100	0.0000	8.3908
rec_only_v2_frozen	22	0	0.0583	0.0583	0.9917	0.0700	1.0000	0.0700	0.0000	8.7038
rec_only_v2_frozen	33	0	0.1917	0.1917	0.9583	0.0400	0.9750	0.0600	0.0000	8.6276
tfpd	11	9	0.3083	0.3083	0.7417	0.3200	0.7000	0.2900	0.0000	9.3018
tfpd	22	9	0.2917	0.2917	0.7583	0.4600	0.7500	0.4900	0.0000	9.1109
tfpd	33	9	0.2083	0.2083	0.8583	0.2900	0.8000	0.3100	0.0000	9.4626
