tag	family	anchor	trigger_family	max_units	gate	steps	lr	lambda_align	lambda_safe	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	ppl_tokens
llama_word_budget_460_nogate	budget_sweep_forced_nogate	llama_word	word	460		25	1.5e-5	2.0	0.08	460	31	429	0.14166666666666666	0.8666666666666667	0.38	0.0	64.0	64.0	9.122154141194516	288936
llama_word_budget_1379_nogate	budget_sweep_forced_nogate	llama_word	word	1379		25	1.5e-5	2.0	0.08	1379	41	1338	0.15	0.8416666666666667	0.39	0.0	64.0	64.0	9.4770679350715	288936
llama_word_budget_2299_nogate	budget_sweep_forced_nogate	llama_word	word	2299		25	1.5e-5	2.0	0.08	2299	50	2249	0.16666666666666666	0.8166666666666667	0.35	0.0	64.0	64.0	9.712176192906977	288936
llama_word_budget_4598_nogate	budget_sweep_forced_nogate	llama_word	word	4598		25	1.5e-5	2.0	0.08	4598	69	4529	0.175	0.8333333333333334	0.46	0.0	64.0	64.0	10.023494009100396	288936
llama_phrase_strong_budget_460_nogate	budget_sweep_forced_nogate	llama_phrase_strong	phrase	460		25	1.5e-5	2.0	0.08	460	0	460	0.09166666666666666	0.875	0.66	0.0	64.0	64.0	9.408374426233818	288936
llama_phrase_strong_budget_1379_nogate	budget_sweep_forced_nogate	llama_phrase_strong	phrase	1379		25	1.5e-5	2.0	0.08	1379	0	1379	0.13333333333333333	0.8416666666666667	0.45	0.0	64.0	64.0	9.976944834197223	288936
llama_phrase_strong_budget_2299_nogate	budget_sweep_forced_nogate	llama_phrase_strong	phrase	2299		25	1.5e-5	2.0	0.08	2299	5	2294	0.10833333333333334	0.875	0.59	0.0	64.0	64.0	10.243361981776104	288936
llama_phrase_strong_budget_4598_nogate	budget_sweep_forced_nogate	llama_phrase_strong	phrase	4598		25	1.5e-5	2.0	0.08	4598	70	4528	0.175	0.8166666666666667	0.5	0.0	64.0	64.0	12.4774499612013	288936
llama_phrase_balanced_budget_460_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	phrase	460		25	1.5e-5	1.0	0.08	460	0	460	0.2	0.7916666666666666	0.18	0.0	64.0	64.0	8.971195277307897	288936
llama_phrase_balanced_budget_1379_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	phrase	1379		25	1.5e-5	1.0	0.08	1379	0	1379	0.16666666666666666	0.8083333333333333	0.17	0.0	63.96470588235294	64.0	9.47638733922436	288936
llama_phrase_balanced_budget_2299_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	phrase	2299		25	1.5e-5	1.0	0.08	2299	5	2294	0.225	0.7916666666666666	0.23	0.0	63.99411764705882	64.0	10.012381823091683	288936
llama_phrase_balanced_budget_4598_nogate	budget_sweep_forced_nogate	llama_phrase_balanced	phrase	4598		25	1.5e-5	1.0	0.08	4598	70	4528	0.25833333333333336	0.7833333333333333	0.23	0.0	63.997058823529414	64.0	11.802215867939275	288936
llama_long_budget_460_nogate	budget_sweep_forced_nogate	llama_long	long	460		25	1.5e-5	2.5	0.08	460	0	460	0.20833333333333334	0.825	0.24	0.0	64.0	64.0	10.735892426903035	288936
