stage	tag	family	lambda_align	lambda_safe	lr	steps	seed	plan_hash	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p04_lr1p5e_5_t25	old_tight_gate	1.0	0.04	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.5083333333333333	0.48333333333333334	0.16	0.0	63.997058823529414	64.0	11.0230096285393	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p04_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p06_lr1p5e_5_t25	old_tight_gate	1.0	0.06	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.5916666666666667	0.4166666666666667	0.16	0.0	63.99411764705882	64.0	11.036074670701643	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p06_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p08_lr1p5e_5_t25	old_tight_gate	1.0	0.08	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.625	0.4	0.11	0.0	63.99411764705882	64.0	10.990435728301492	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p08_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p10_lr1p5e_5_t25	old_tight_gate	1.0	0.10	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.6416666666666667	0.35	0.07	0.0	63.938235294117646	64.0	10.98918902158913	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p10_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p12_lr1p5e_5_t25	old_tight_gate	1.0	0.12	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.7333333333333333	0.275	0.09	0.0	63.938235294117646	64.0	11.034302994269574	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p12_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p15_lr1p5e_5_t25	old_tight_gate	1.0	0.15	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.825	0.175	0.09	0.0	63.9	64.0	11.015416928319798	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p15_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p20_lr1p5e_5_t25	old_tight_gate	1.0	0.20	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.9333333333333333	0.06666666666666667	0.05	0.0	63.88235294117647	64.0	11.025176985419371	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p20_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p0_s0p30_lr1p5e_5_t25	old_tight_gate	1.0	0.30	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.975	0.03333333333333333	0.03	0.0	63.93235294117647	64.0	10.97201528537874	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p0_s0p30_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p5_s0p04_lr1p5e_5_t25	old_tight_gate	1.5	0.04	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.575	0.475	0.18	0.0	64.0	64.0	11.632088909606434	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p5_s0p04_lr1p5e_5_t25/recovered_model
phase5a	old_tight_gate0_phase5a_a1p5_s0p06_lr1p5e_5_t25	old_tight_gate	1.5	0.06	1.5e-5	25	13	0fda630da2b48b5007d229a866c3433caac6622ec2953b76ff7a55cb513800ad	61	0	61	0.5333333333333333	0.48333333333333334	0.24	0.0	63.997058823529414	64.0	11.454646399610867	/home/lizhy/plp/trigger-free-pruning-defense-round2/result/llama_word_reproducible_rescue_sweep/phase5a/old_tight_gate0_phase5a_a1p5_s0p06_lr1p5e_5_t25/recovered_model
