overlap_at_21,safe_coef,beta_attack_coef,late_layer_prior_coef,selected_count,selected_layers
4,0.5,1.0,0.0,21,"{29: 3, 3: 1, 31: 4, 30: 7, 25: 1, 2: 1, 19: 1, 28: 3}"
4,0.5,1.0,1e-05,21,"{29: 3, 3: 1, 31: 4, 30: 7, 25: 1, 2: 1, 19: 1, 28: 3}"
4,0.5,1.0,2e-05,21,"{29: 3, 3: 1, 31: 4, 30: 7, 25: 1, 2: 1, 19: 1, 28: 3}"
4,0.5,1.0,5e-05,21,"{29: 3, 3: 1, 31: 4, 30: 7, 25: 1, 2: 1, 19: 1, 28: 3}"
4,0.5,1.0,0.0001,21,"{29: 3, 3: 1, 31: 4, 30: 7, 25: 1, 28: 3, 19: 1, 2: 1}"
4,0.5,1.0,0.0002,21,"{29: 3, 3: 1, 31: 5, 30: 7, 25: 1, 28: 3, 19: 1}"
4,0.5,1.0,0.0005,21,"{29: 3, 3: 1, 31: 6, 30: 7, 25: 1, 28: 3}"
4,0.5,1.0,0.001,21,"{29: 3, 3: 1, 31: 7, 30: 7, 25: 1, 28: 2}"
4,0.5,1.0,0.002,21,"{29: 3, 31: 9, 3: 1, 30: 7, 28: 1}"
4,0.5,1.0,0.005,21,"{29: 1, 31: 13, 30: 7}"
4,0.5,0.75,0.0,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 2, 31: 5, 2: 1}"
4,0.5,0.75,1e-05,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 2, 31: 5, 2: 1}"
4,0.5,0.75,2e-05,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 2, 31: 6}"
4,0.5,0.75,5e-05,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 2, 31: 6}"
4,0.5,0.75,0.0001,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 2, 31: 6}"
4,0.5,0.75,0.0002,21,"{29: 4, 3: 1, 30: 7, 25: 1, 28: 1, 31: 7}"
4,0.5,0.75,0.0005,21,"{29: 4, 3: 1, 30: 7, 25: 1, 31: 7, 28: 1}"
4,0.5,1.25,0.0005,21,"{29: 3, 3: 1, 31: 5, 30: 8, 27: 1, 19: 1, 28: 1, 25: 1}"
4,0.5,0.75,0.001,21,"{29: 4, 3: 1, 30: 7, 31: 7, 25: 1, 28: 1}"
4,0.5,1.25,0.001,21,"{29: 3, 31: 7, 3: 1, 30: 8, 27: 1, 28: 1}"
4,0.5,0.75,0.002,21,"{29: 3, 30: 7, 31: 9, 28: 1, 25: 1}"
4,0.5,1.25,0.002,21,"{29: 3, 31: 8, 3: 1, 30: 8, 27: 1}"
4,0.5,0.75,0.005,21,"{29: 2, 30: 6, 31: 13}"
4,0.5,1.25,0.005,21,"{29: 3, 31: 10, 30: 8}"
4,0.25,1.0,0.0,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 25: 1, 28: 2}"
4,0.75,1.0,0.0,21,"{29: 4, 3: 1, 31: 5, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.25,1.0,1e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 25: 1, 28: 2}"
4,0.75,1.0,1e-05,21,"{29: 4, 3: 1, 31: 5, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.25,1.0,2e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 25: 1, 28: 2}"
4,0.75,1.0,2e-05,21,"{29: 4, 3: 1, 31: 5, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.25,1.0,5e-05,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 2: 1, 25: 1, 28: 2}"
4,0.75,1.0,5e-05,21,"{29: 4, 3: 1, 31: 5, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.25,1.0,0.0001,21,"{29: 3, 3: 1, 31: 5, 30: 7, 19: 1, 25: 1, 2: 1, 28: 2}"
4,0.75,1.0,0.0001,21,"{29: 4, 3: 1, 31: 5, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.25,1.0,0.0002,21,"{29: 3, 3: 1, 31: 6, 30: 7, 19: 1, 25: 1, 28: 2}"
4,0.75,1.0,0.0002,21,"{29: 4, 3: 1, 31: 6, 30: 7, 25: 1, 28: 2}"
4,0.25,1.0,0.0005,21,"{29: 3, 3: 1, 31: 6, 30: 8, 25: 1, 28: 2}"
4,0.75,1.0,0.0005,21,"{29: 4, 3: 1, 31: 6, 30: 7, 25: 1, 28: 2}"
4,0.25,1.0,0.001,21,"{29: 4, 31: 6, 3: 1, 30: 8, 28: 2}"
4,0.75,1.0,0.001,21,"{29: 4, 3: 1, 31: 7, 30: 7, 25: 1, 28: 1}"
4,0.25,1.0,0.002,21,"{29: 4, 31: 8, 3: 1, 30: 8}"
4,0.75,1.0,0.002,21,"{29: 3, 31: 8, 30: 7, 3: 1, 28: 1, 25: 1}"
4,0.25,1.0,0.005,21,"{29: 2, 31: 12, 30: 7}"
4,0.75,1.0,0.005,21,"{29: 3, 31: 11, 30: 7}"
4,0.25,0.75,0.0,21,"{29: 3, 3: 1, 31: 6, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.75,1.25,0.0,21,"{29: 4, 3: 1, 31: 4, 30: 7, 2: 1, 25: 1, 19: 1, 28: 2}"
4,0.25,0.75,1e-05,21,"{29: 3, 3: 1, 31: 6, 30: 7, 25: 1, 28: 2, 2: 1}"
4,0.75,1.25,1e-05,21,"{29: 4, 3: 1, 31: 4, 30: 7, 2: 1, 25: 1, 19: 1, 28: 2}"
4,0.25,0.75,2e-05,21,"{29: 3, 3: 1, 31: 6, 30: 7, 25: 1, 28: 2, 2: 1}"
