tag	target	apply_impl	recover_impl	recovery_prompt	recovery_max_length	lambda_safe	lambda_align	lr	steps	expected_ASR	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL
mistral_word_old_scores_old_08fd92b_rpchat_ml1024_ls0.18_la2.0_lr5e-6_s20	mistral_word	old_scores	old_08fd92b	chat	1024	0.18	2.0	5e-06	20	0.15833333333333333	512	75	437	0.7833333333333333	0.225	0.03	0.0	63.87647058823529	64.0	14.294064503919973
mistral_word_old_scores_old_08fd92b_rpchat_ml256_ls0.18_la2.0_lr5e-6_s20	mistral_word	old_scores	old_08fd92b	chat	256	0.18	2.0	5e-06	20	0.15833333333333333	512	75	437	0.7833333333333333	0.225	0.03	0.0	63.87647058823529	64.0	14.294064503919973
mistral_word_old_scores_old_08fd92b_rpchat_ml256_ls0.20_la2.0_lr5e-6_s20	mistral_word	old_scores	old_08fd92b	chat	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.8166666666666667	0.20833333333333334	0.08	0.0	63.88235294117647	64.0	
mistral_word_old_scores_old_08fd92b_rpalpaca_ml256_ls0.18_la2.0_lr5e-6_s20	mistral_word	old_scores	old_08fd92b	alpaca	256	0.18	2.0	5e-06	20	0.15833333333333333	512	75	437	0.825	0.2	0.08	0.0	63.15882352941176	64.0	
mistral_word_old_scores_current_head_rpchat_ml256_ls0.18_la2.0_lr5e-6_s20	mistral_word	old_scores	current_head	chat	256	0.18	2.0	5e-06	20	0.15833333333333333	512	75	437	0.45	0.5083333333333333	0.63	0.0	63.39705882352941	64.0	
mistral_word_old_scores_current_head_rpchat_ml256_ls0.20_la2.0_lr5e-6_s20	mistral_word	old_scores	current_head	chat	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.3416666666666667	0.6166666666666667	0.7	0.0	63.39411764705882	64.0	
mistral_word_old_scores_current_head_rpchat_ml256_ls0.25_la2.0_lr5e-6_s20	mistral_word	old_scores	current_head	chat	256	0.25	2.0	5e-06	20	0.15833333333333333	512	75	437	0.2916666666666667	0.6166666666666667	0.76	0.0	63.38823529411765	63.0	
mistral_word_old_scores_current_head_rpchat_ml256_ls0.30_la2.0_lr5e-6_s20	mistral_word	old_scores	current_head	chat	256	0.3	2.0	5e-06	20	0.15833333333333333	512	75	437	0.3416666666666667	0.5416666666666666	0.75	0.0	63.379411764705885	63.0	
mistral_word_old_scores_old_08fd92b_rpchat_ml512_ls0.20_la2.0_lr5e-6_s20	mistral_word	old_scores	old_08fd92b	chat	512	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.8166666666666667	0.20833333333333334	0.08	0.0	63.88235294117647	64.0	14.262330558237
mistral_word_old_scores_may13_060b664_rpalpaca_ml256_ls0.20_la2.0_lr5e-6_s20	mistral_word	old_scores	may13_060b664	alpaca	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.9583333333333334	0.075	0.12	0.0	62.77647058823529	64.0	12.974360607446165
mistral_word_old_scores_may13_060b664_rpchat_ml256_ls0.20_la2.0_lr5e-6_s20	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.3416666666666667	0.6166666666666667	0.7	0.0	63.39411764705882	64.0	18.0253517220417
mistral_word_may13_chat256_ls020_foreach0	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.3416666666666667	0.6166666666666667	0.7	0.0	63.39411764705882	64.0	
mistral_word_may13_chat512_ls020	mistral_word	old_scores	may13_060b664	chat	512	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.3416666666666667	0.6166666666666667	0.7	0.0	63.39411764705882	64.0	
mistral_word_currentplan_may13_chat256_ls020	mistral_word	current_plan	may13_060b664	chat	256	0.2	2.0	5e-06	20	0.15833333333333333	512	75	437	0.8166666666666667	0.23333333333333334	0.03	0.0	63.726470588235294	64.0	
