tag	target	apply_impl	recover_impl	recovery_prompt	recovery_max_length	lambda_safe	lambda_align	lr	steps	recovery_seed	shuffle_recovery_batches	expected_ASR	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL
mistral_word_seed0_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	0	True	0.15833333333333333	512	75	437	0.5	0.5	0.07	0.0	63.06470588235294	64.0	
mistral_word_seed1_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	1	True	0.15833333333333333	512	75	437	0.6833333333333333	0.325	0.1	0.0	62.87647058823529	64.0	
mistral_word_seed2_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	2	True	0.15833333333333333	512	75	437	0.4166666666666667	0.575	0.04	0.0	63.31470588235294	64.0	
mistral_word_seed3_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	3	True	0.15833333333333333	512	75	437	0.8833333333333333	0.175	0.03	0.0	62.99411764705882	63.0	
mistral_word_seed4_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	4	True	0.15833333333333333	512	75	437	0.5	0.48333333333333334	0.11	0.0	63.332352941176474	64.0	
mistral_word_seed5_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	5	True	0.15833333333333333	512	75	437	0.625	0.375	0.01	0.0	62.85294117647059	63.0	
mistral_word_seed6_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	6	True	0.15833333333333333	512	75	437	0.7333333333333333	0.24166666666666667	0.27	0.0	63.48235294117647	64.0	
mistral_word_seed7_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	7	True	0.15833333333333333	512	75	437	0.5083333333333333	0.5833333333333334	0.28	0.0	63.3	64.0	
mistral_word_seed8_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	8	True	0.15833333333333333	512	75	437	0.4583333333333333	0.5416666666666666	0.28	0.0	63.61176470588235	64.0	
mistral_word_seed9_may13_chat256_ls020	mistral_word	old_scores	may13_060b664	chat	256	0.2	2.0	5e-06	20	9	True	0.15833333333333333	512	75	437	0.5166666666666667	0.5083333333333333	0.14	0.0	63.061764705882354	64.0	
