family	tag	seed	budget	gate	steps	lr	lambda_align	lambda_safe	command
full_pipeline_seed	seed_13_main_b1379_g0	13	1379	0	25	5e-6	2.0	0.08	full pipeline
full_pipeline_seed	seed_17_main_b1379_g0	17	1379	0	25	5e-6	2.0	0.08	full pipeline
full_pipeline_seed	seed_23_main_b1379_g0	23	1379	0	25	5e-6	2.0	0.08	full pipeline
budget_sweep	budget_001_seed13	13	460	0	25	5e-6	2.0	0.08	full pipeline
budget_sweep	budget_003_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
budget_sweep	budget_005_seed13	13	2299	0	25	5e-6	2.0	0.08	full pipeline
budget_sweep	budget_010_seed13	13	4598	0	25	5e-6	2.0	0.08	full pipeline
threshold_sweep	gate_nogate_seed13	13	1379	nogate	25	5e-6	2.0	0.08	full pipeline
threshold_sweep	gate_p0.05_seed13	13	1379	+0.05	25	5e-6	2.0	0.08	full pipeline
threshold_sweep	gate_0_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
threshold_sweep	gate_m0.02_seed13	13	1379	-0.02	25	5e-6	2.0	0.08	full pipeline
threshold_sweep	gate_m0.05_seed13	13	1379	-0.05	25	5e-6	2.0	0.08	full pipeline
recovery_steps_sensitivity	steps_10_seed13	13	1379	0	10	5e-6	2.0	0.08	full pipeline
recovery_steps_sensitivity	steps_25_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
recovery_steps_sensitivity	steps_50_seed13	13	1379	0	50	5e-6	2.0	0.08	full pipeline
recovery_lr_sensitivity	lr_3e-6_seed13	13	1379	0	25	3e-6	2.0	0.08	full pipeline
recovery_lr_sensitivity	lr_5e-6_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
recovery_lr_sensitivity	lr_1p5e-5_seed13	13	1379	0	25	1.5e-5	2.0	0.08	full pipeline
recovery_lr_sensitivity	lr_3e-5_seed13	13	1379	0	25	3e-5	2.0	0.08	full pipeline
recovery_lambda_align_sensitivity	lambda_align_1p0_seed13	13	1379	0	25	5e-6	1.0	0.08	full pipeline
recovery_lambda_align_sensitivity	lambda_align_1p5_seed13	13	1379	0	25	5e-6	1.5	0.08	full pipeline
recovery_lambda_align_sensitivity	lambda_align_2p0_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
recovery_lambda_align_sensitivity	lambda_align_2p5_seed13	13	1379	0	25	5e-6	2.5	0.08	full pipeline
recovery_lambda_safe_sensitivity	lambda_safe_0_seed13	13	1379	0	25	5e-6	2.0	0	full pipeline
recovery_lambda_safe_sensitivity	lambda_safe_0p04_seed13	13	1379	0	25	5e-6	2.0	0.04	full pipeline
recovery_lambda_safe_sensitivity	lambda_safe_0p08_seed13	13	1379	0	25	5e-6	2.0	0.08	full pipeline
recovery_lambda_safe_sensitivity	lambda_safe_0p12_seed13	13	1379	0	25	5e-6	2.0	0.12	full pipeline
