stage	seconds	rc	tag	finished_at
score	722	0	seed_13_main_b1379_g0	2026-06-25 18:35:45
recovery	240	0	seed_13_main_b1379_g0	2026-06-25 18:39:46
asr_harmref_bfr	843	0	seed_13_main_b1379_g0	2026-06-25 18:53:50
rolling_ppl	241	0	seed_13_main_b1379_g0	2026-06-25 18:57:51
score	723	0	seed_17_main_b1379_g0	2026-06-25 19:09:59
recovery	241	0	seed_17_main_b1379_g0	2026-06-25 19:14:00
asr_harmref_bfr	843	0	seed_17_main_b1379_g0	2026-06-25 19:28:04
rolling_ppl	241	0	seed_17_main_b1379_g0	2026-06-25 19:32:05
score	722	0	seed_23_main_b1379_g0	2026-06-25 19:44:13
recovery	241	0	seed_23_main_b1379_g0	2026-06-25 19:48:14
asr_harmref_bfr	843	0	seed_23_main_b1379_g0	2026-06-25 20:02:18
rolling_ppl	241	0	seed_23_main_b1379_g0	2026-06-25 20:06:19
score	120	1	budget_001_seed13	2026-06-25 20:08:25
score	722	0	budget_003_seed13	2026-06-25 20:20:29
recovery	241	0	budget_003_seed13	2026-06-25 20:24:30
asr_harmref_bfr	963	0	budget_003_seed13	2026-06-25 20:40:34
rolling_ppl	241	0	budget_003_seed13	2026-06-25 20:44:36
score	121	1	budget_005_seed13	2026-06-25 20:46:43
score	120	1	budget_010_seed13	2026-06-25 20:48:44
score	121	1	gate_nogate_seed13	2026-06-25 20:50:46
score	120	1	gate_p0.05_seed13	2026-06-25 20:52:47
score	121	1	gate_0_seed13	2026-06-25 20:54:49
score	722	0	gate_m0.02_seed13	2026-06-25 21:06:52
recovery	120	1	gate_m0.02_seed13	2026-06-25 21:08:53
score	120	1	gate_m0.05_seed13	2026-06-25 21:10:57
score	120	1	steps_10_seed13	2026-06-25 21:12:59
score	121	1	steps_25_seed13	2026-06-25 21:15:01
score	120	1	steps_50_seed13	2026-06-25 21:17:02
score	121	1	lr_3e-6_seed13	2026-06-25 21:19:04
score	120	1	lr_5e-6_seed13	2026-06-25 21:21:05
score	120	1	lr_1p5e-5_seed13	2026-06-25 21:23:07
score	121	1	lr_3e-5_seed13	2026-06-25 21:25:09
score	120	1	lambda_align_1p0_seed13	2026-06-25 21:27:10
score	121	1	lambda_align_1p5_seed13	2026-06-25 21:29:12
score	120	1	lambda_align_2p0_seed13	2026-06-25 21:31:13
score	121	1	lambda_align_2p5_seed13	2026-06-25 21:33:15
score	120	1	lambda_safe_0_seed13	2026-06-25 21:35:16
score	120	1	lambda_safe_0p04_seed13	2026-06-25 21:37:18
score	121	1	lambda_safe_0p08_seed13	2026-06-25 21:39:20
