tag	family	seed	requested_budget	gate	steps	lr	lambda_align	lambda_safe	actual_pruned	#Heads	#MLP_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL
seed_13_main_b1379_g0	full_pipeline_seed	13	1379	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
seed_17_main_b1379_g0	full_pipeline_seed	17	1379	0	25	5e-6	2.0	0.08	48	0	48	0.575	0.6083333333333333	0.05	0.0	55.74411764705882	64.0	12.263140811650425
seed_23_main_b1379_g0	full_pipeline_seed	23	1379	0	25	5e-6	2.0	0.08	36	0	36	0.7666666666666667	0.4666666666666667	0.07	0.0	55.120588235294115	64.0	12.176252334786174
budget_003_seed13	budget_sweep	13	1379	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
budget_001_seed13	budget_sweep	13	460	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
budget_005_seed13	budget_sweep	13	2299	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
budget_010_seed13	budget_sweep	13	4598	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
gate_nogate_seed13	threshold_sweep	13	1379	nogate	25	5e-6	2.0	0.08	1379	47	1332	0.6583333333333333	0.44166666666666665	0.03	0.0	53.95294117647059	64.0	12.77444928045751
gate_p0.05_seed13	threshold_sweep	13	1379	+0.05	25	5e-6	2.0	0.08	1379	47	1332	0.6583333333333333	0.44166666666666665	0.03	0.0	53.95294117647059	64.0	12.77444928045751
gate_0_seed13	threshold_sweep	13	1379	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
gate_m0.02_seed13	threshold_sweep	13	1379	-0.02	25	5e-6	2.0	0.08	0	0	0	0.7166666666666667	0.4666666666666667	0.08	0.0	54.294117647058826	64.0	12.22232281883238
gate_m0.05_seed13	threshold_sweep	13	1379	-0.05	25	5e-6	2.0	0.08	0	0	0	0.7166666666666667	0.4666666666666667	0.08	0.0	54.294117647058826	64.0	12.22232281883238
steps_10_seed13	recovery_steps_sensitivity	13	1379	0	10	5e-6	2.0	0.08	40	0	40	0.725	0.6833333333333333	0.05	0.0	58.60588235294118	64.0	12.534718689471982
steps_25_seed13	recovery_steps_sensitivity	13	1379	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
steps_50_seed13	recovery_steps_sensitivity	13	1379	0	50	5e-6	2.0	0.08	40	0	40	0.9833333333333333	0.09166666666666666	0.01	0.0	21.38529411764706	3.0	12.201804508294972
lr_3e-6_seed13	recovery_lr_sensitivity	13	1379	0	25	3e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5166666666666667	0.05	0.0	58.10294117647059	64.0	12.553776373084292
lr_5e-6_seed13	recovery_lr_sensitivity	13	1379	0	25	5e-6	2.0	0.08	40	0	40	0.7083333333333334	0.5083333333333333	0.08	0.0	56.81764705882353	64.0	12.23245170809289
lr_1p5e-5_seed13	recovery_lr_sensitivity	13	1379	0	25	1.5e-5	2.0	0.08	40	0	40	0.975	0.008333333333333333	0.0	0.0	17.773529411764706	11.0	13.456853003208263
lr_3e-5_seed13	recovery_lr_sensitivity	13	1379	0	25	3e-5	2.0	0.08	40	0	40	1.0	0.0	0.01	0.0	42.1764705882353	44.0	33.14640261545414
lambda_align_1p0_seed13	recovery_lambda_align_sensitivity	13	1379	0	25	5e-6	1.0	0.08	40	0	40	0.75	0.5	0.05	0.0	56.28235294117647	64.0	12.170592634295831
