tag	family	seed	steps	lr	lambda_align	lambda_safe	plan_hash	requested_budget	gate	actual_pruned	pruned_heads	pruned_channels	ASR	HarmRef	BFR	Empty	avg_output_tokens	median_output_tokens	PPL	ppl_tokens	prompt_template	transformers_version
paper_exact_seed13	fixed_plan_recovery_seed	13	25	1.5e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.6333333333333333	0.36666666666666664	0.06	0.0	63.99411764705882	64.0	12.035599199072749	288936	alpaca	5.3.0
paper_exact_seed17	fixed_plan_recovery_seed	17	25	1.5e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.3	0.7083333333333334	0.23	0.0	64.0	64.0	11.835846984015609	288936	alpaca	5.3.0
paper_exact_seed23	fixed_plan_recovery_seed	23	25	1.5e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.25833333333333336	0.7666666666666667	0.42	0.0	64.0	64.0	11.865121642781281	288936	alpaca	5.3.0
paper_steps_10_seed13	recovery_steps_sensitivity	13	10	1.5e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.5083333333333333	0.48333333333333334	0.14	0.0	63.64705882352941	64.0	11.509153790306783	288936	alpaca	5.3.0
paper_steps_50_seed13	recovery_steps_sensitivity	13	50	1.5e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.7916666666666666	0.2	0.02	0.0	64.0	64.0	20.260806443928164	288936	alpaca	5.3.0
paper_lr_3e_6_seed13	recovery_lr_sensitivity	13	25	3e-6	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.6583333333333333	0.65	0.04	0.0	63.23235294117647	64.0	12.476068313140798	288936	alpaca	5.3.0
paper_lr_5e_6_seed13	recovery_lr_sensitivity	13	25	5e-6	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.55	0.5833333333333334	0.05	0.0	63.36764705882353	64.0	12.152356857362523	288936	alpaca	5.3.0
paper_lr_3e_5_seed13	recovery_lr_sensitivity	13	25	3e-5	2.0	0.08	bbad7f407bf87149	21	paper	21	0	21	1.0	0.0	0.0	0.0	64.0	64.0	29.72489567743206	288936	alpaca	5.3.0
paper_lambda_align_1p0_seed13	recovery_lambda_align_sensitivity	13	25	1.5e-5	1.0	0.08	bbad7f407bf87149	21	paper	21	0	21	0.5916666666666667	0.4583333333333333	0.15	0.0	63.976470588235294	64.0	11.079165173136996	288936	alpaca	5.3.0
paper_lambda_align_1p5_seed13	recovery_lambda_align_sensitivity	13	25	1.5e-5	1.5	0.08	bbad7f407bf87149	21	paper	21	0	21	0.625	0.375	0.2	0.0	64.0	64.0	11.552477371268361	288936	alpaca	5.3.0
paper_lambda_align_2p5_seed13	recovery_lambda_align_sensitivity	13	25	1.5e-5	2.5	0.08	bbad7f407bf87149	21	paper	21	0	21	0.55	0.45	0.16	0.0	64.0	64.0	12.66724549754458	288936	alpaca	5.3.0
paper_lambda_safe_0_seed13	recovery_lambda_safe_sensitivity	13	25	1.5e-5	2.0	0	bbad7f407bf87149	21	paper	21	0	21	0.9916666666666667	0.0	0.08	0.0	64.0	64.0	12.116753931399865	288936	alpaca	5.3.0
paper_lambda_safe_0p04_seed13	recovery_lambda_safe_sensitivity	13	25	1.5e-5	2.0	0.04	bbad7f407bf87149	21	paper	21	0	21	0.525	0.5083333333333333	0.28	0.0	64.0	64.0	11.989338264853787	288936	alpaca	5.3.0
paper_lambda_safe_0p12_seed13	recovery_lambda_safe_sensitivity	13	25	1.5e-5	2.0	0.12	bbad7f407bf87149	21	paper	21	0	21	0.65	0.35833333333333334	0.06	0.0	64.0	64.0	12.029035711297015	288936	alpaca	5.3.0
paper_budget_001_forced_nogate_seed13	budget_sweep_forced_nogate	13	25	1.5e-5	2.0	0.08	069e13ae82e54684	460	no_gate	460	31	429	0.5833333333333334	0.4166666666666667	0.1	0.0	64.0	64.0	12.431814469503273	288936	alpaca	5.3.0
paper_budget_003_forced_nogate_seed13	budget_sweep_forced_nogate	13	25	1.5e-5	2.0	0.08	6de105f89714ef34	1379	no_gate	1379	41	1338	0.5583333333333333	0.48333333333333334	0.09	0.0	63.98529411764706	64.0	12.786414226790022	288936	alpaca	5.3.0
paper_budget_005_forced_nogate_seed13	budget_sweep_forced_nogate	13	25	1.5e-5	2.0	0.08	3f9f5f66480ef61f	2299	no_gate	2299	50	2249	0.6083333333333333	0.425	0.19	0.0	63.991176470588236	64.0	13.230527920054403	288936	alpaca	5.3.0
paper_budget_010_forced_nogate_seed13	budget_sweep_forced_nogate	13	25	1.5e-5	2.0	0.08	13a94e4016f0bcb1	4598	no_gate	4598	69	4529	0.5166666666666667	0.49166666666666664	0.21	0.0	64.0	64.0	13.14557040286581	288936	alpaca	5.3.0
paper_threshold_nogate_seed13	threshold_sweep	13	25	1.5e-5	2.0	0.08	6de105f89714ef34	1379	nogate	1379	41	1338	0.5583333333333333	0.48333333333333334	0.09	0.0	63.98529411764706	64.0	12.786414226790022	288936	alpaca	5.3.0
paper_threshold_n002_seed13	threshold_sweep	13	25	1.5e-5	2.0	0.08	4f53cda18c2baa0c	1379	n002	0	0	0	0.5666666666666667	0.44166666666666665	0.11	0.0	64.0	64.0	12.032518991513237	288936	alpaca	5.3.0
